chinese,foundation
同情,care
一臂之力,care
一见倾心,care
三个代表,care
上阵杀敌,care
不为已甚,care
不仁,care
不以为然,care
不伤脾胃,care
不共戴天,care
不啻,care
不孝,care
不孝之子,care
不孝子,care
不孝子孙,care
不孝敬,care
不孝顺,care
不宽容,care
不屑,care
不怀好意,care
不打不相识,care
不杀不辱,care
不让座,care
与人为善,care
丑化,care
世界大战,care
东征,care
东征西讨,care
东突,care
丢命,care
两虎相争,care
两虎相斗,care
两败俱伤,care
严刑,care
严慈,care
丧亡,care
丧生,care
中毒,care
中箭,care
为仁不富,care
为富不仁,care
为非作歹,care
义举,care
义卖,care
义工,care
义愤填膺,care
义捐,care
义演,care
义行,care
义诊,care
乌鸟私情,care
乐于助人,care
乐意,care
乖顺,care
乘胜追击,care
乞哀告怜,care
乞怜,care
乳母,care
了却此生,care
争战,care
争斗,care
事故,care
二遍苦,care
互助,care
互惠互利,care
互惠共赢,care
互惠合作,care
五刑,care
亡国灭种,care
交恶,care
交战,care
交通肇事,care
亲切,care
亲和,care
亲睦邻邦,care
人见人爱,care
人身安全,care
人道,care
人道主义,care
仁厚,care
仁君,care
仁善,care
仁孝,care
仁德,care
仁心,care
仁惠,care
仁慈,care
仁慈心,care
仁政,care
仁民爱物,care
仁者爱人,care
仁至义尽,care
仇人,care
仇怨,care
从井救人,care
仗义执言,care
仗势欺人,care
仙逝,care
以工代赈,care
以强凌弱,care
以飨读者,care
任侠,care
传递温暖,care
伤亡,care
伤别,care
伤势,care
伤及无辜,care
伤员,care
伤天害理,care
伤害,care
伤弓之鸟,care
伤心,care
伤悲,care
伤残,care
伤残人员,care
伤疤,care
伤痛,care
伤者,care
伤耗,care
伥鬼,care
伺候,care
住院,care
体恤,care
体惜,care
体罚,care
体谅,care
作孽,care
作恶,care
作痛,care
作贼,care
使作呕,care
使坏,care
侍候,care
供养,care
侠义心肠,care
侮弄,care
侵入,care
侵扰,care
侵权,care
便民利民,care
便民惠民,care
保住,care
保佑,care
保全,care
保卫,care
保护,care
保护伞,care
保护动物,care
保护环境,care
保护者,care
保护色,care
保重,care
保障,care
借刀杀人,care
借助,care
借酒浇愁,care
倾轧,care
偏疼,care
健康,care
健康保险,care
健康受损,care
健康食品,care
偷去,care
偷盗,care
偷窃,care
偷袭,care
偷鸡不着蚀把米,care
傻Ｂ,care
傻蛋,care
傻逼,care
元恶,care
兄弟情义,care
免疫力,care
免费义诊,care
全心全意,care
全歼,care
公共事业,care
公益,care
公益金,care
兰摧玉折,care
共同利益,care
共襄善举,care
关怀,care
关格,care
兵连祸结,care
养家糊口,care
养活,care
养病,care
养老,care
养老院,care
养虎为患,care
内心善良,care
内耗,care
混战,care
冤业,care
冤死,care
冲打,care
冷暖,care
冷暖自知,care
凄恻,care
凄惶,care
凄然,care
凌虐,care
凌迟,care
凶事,care
凶器,care
凶巴巴,care
凶戾,care
凶手,care
凶杀,care
凶杀案,care
凶死,care
凶残,care
凶犯,care
凶狠,care
凶讯,care
